actor_name,avg_rating,count,is_star
'Weird Al' Yankovic,3.4475,4,True
A Martinez,3.3449999999999998,2,False
A. Cameron Grant,3.6700000000000004,7,True
A.C. Peterson,2.9025,8,False
A.J. Johnson,3.231666666666667,6,False
A.S. Byron,3.526666666666667,9,True
Aaron Eckhart,3.152,5,False
Aaron Lustig,3.060909090909091,11,False
Aaron Paul,2.8449999999999998,2,False
Aaron Pearl,2.84,1,False
Aaron Stanford,3.38,2,False
Aasif Mandvi,3.024,5,False
Abbie Cornish,3.04,1,False
Abdoulaye NGom,3.0933333333333337,3,False
Abdullah Abbas,3.464444444444444,9,True
Abe Dinovitch,3.325454545454545,11,True
Abe Vigoda,3.3833333333333333,12,True
Abel Fernandez,3.265,6,False
Abigail Breslin,3.46,1,False
Abner Biberman,3.4384615384615387,13,True
Abraham Benrubi,3.04,7,False
Abraham Sofaer,3.2154545454545453,11,False
Adam Arkin,2.7028571428571433,7,False
Adam Baldwin,3.3007692307692307,13,True
Adam Beach,3.0324999999999998,4,False
Adam Brody,2.88,1,False
Adam Fogerty,3.427142857142857,7,True
Adam Garcia,3.185,2,False
Adam Goldberg,3.28125,8,True
Adam LeFevre,3.142857142857143,14,False
Adam Roarke,3.2380000000000004,10,False
Adam Sandler,2.9099999999999997,15,False
Adam Scott,3.26,4,False
Adam Shankman,3.0625,4,False
Adam West,3.2142857142857144,7,False
Adam Williams,3.441818181818182,11,True
Adam Wylie,2.8825000000000003,4,False
Addison Richards,3.338793103448276,58,True
Adele Jergens,3.2841176470588236,17,True
Adele Mara,3.2155555555555555,9,False
Adeline De Walt Reynolds,3.4170000000000003,10,True
Adewale Akinnuoye-Agbaje,3.054,5,False
Adia Kuznetzoff,3.2572727272727273,11,False
Adolf E. Licho,3.307,10,True
Adolf Hitler,3.351,10,True
Adolph Faylauer,3.5831999999999997,25,True
Adolphe Menjou,3.4135714285714287,28,True
Adrian Armas,2.3233333333333333,3,False
Adrian Grenier,3.186,5,False
Adrian Martinez,3.16,1,False
Adrian Morris,3.501052631578947,19,True
Adrian Rawlins,3.62,2,False
Adrian Rosley,3.3041666666666667,12,True
Adrian Scarborough,3.625,2,False
Adrian Schiller,3.27,1,False
Adrien Brody,3.4,6,True
Adrien Dorval,2.8111111111111113,9,False
Adrienne D'Ambricourt,3.4485,20,True
Adrienne King,3.104,5,False
Afemo Omilami,3.3,11,True
Aggie Herring,3.27,6,True
Agnes Bruckner,2.9,3,False
Agnes Moorehead,3.3590243902439023,41,True
Agostino Borgato,3.283333333333333,12,True
Aharon Ipalé,2.9144444444444444,9,False
Ahna Capri,3.233333333333333,6,False
Aida Turturro,3.0658333333333334,12,False
Aidan Devine,2.87,1,False
Aidan Quinn,3.3044444444444445,9,True
Aileen Carlyle,3.642857142857143,7,True
