director_name,avg_rating,count,is_star
A. Edward Sutherland,3.1116666666666664,6,False
Adam Shankman,2.94,2,False
Adrian Lyne,3.1166666666666667,6,False
Alan J. Pakula,3.3327272727272725,11,True
Alan Parker,3.494285714285714,7,True
Alexander Hall,3.32,13,True
Alfred E. Green,3.2485,20,False
Alfred Hitchcock,3.737727272727273,22,True
Alfred L. Werker,3.218571428571429,7,False
Allan Dwan,3.3442857142857143,21,True
Anatole Litvak,3.416875,16,True
Andrei Konchalovsky,3.368,5,True
Andrew Davis,3.03,6,False
Andrew L. Stone,3.3099999999999996,7,True
Andrew V. McLaglen,3.16,14,False
André de Toth,3.387857142857143,14,True
Andy Tennant,3.1075,4,False
Anthony Mann,3.4728571428571433,21,True
Antoine Fuqua,3.186666666666667,3,False
Archie Mayo,3.33,15,True
Arthur Hiller,3.17,18,False
Arthur Lubin,3.1864285714285714,14,False
Arthur Penn,3.2857142857142856,7,False
Barry Levinson,3.2764285714285712,14,False
Barry Sonnenfeld,3.195,8,False
Ben Sharpsteen,3.5366666666666666,9,True
Betty Thomas,2.935,6,False
Bill Condon,3.62,1,False
Billy Wilder,3.7881818181818185,22,True
Blake Edwards,3.1876923076923074,26,False
Bob Clark,2.934285714285714,7,False
Bob Rafelson,3.2542857142857144,7,False
Bobby Farrelly,3.012,5,False
Brett Ratner,3.278,5,False
Brian De Palma,3.483571428571428,14,True
Brian Levant,2.486666666666667,6,False
Brian Robbins,2.965,4,False
Bruce Beresford,3.085714285714286,7,False
Bryan Singer,3.32,1,False
Budd Boetticher,3.3018181818181818,11,True
Burt Gillett,3.4388888888888887,9,True
Burt Kennedy,3.0755555555555554,9,False
Busby Berkeley,3.3283333333333336,18,True
Byron Haskin,3.222727272727273,11,False
Cameron Crowe,3.5949999999999998,4,True
Carl Reiner,3.167,10,False
Cecil B. DeMille,3.3333333333333335,18,True
Charles A. Nichols,3.218235294117647,17,False
Charles Barton,3.2577777777777777,9,False
Charles Jarrott,3.0414285714285714,7,False
Charles Lamont,3.184,10,False
Charles Shyer,3.0300000000000002,5,False
Charles Vidor,3.338461538461538,13,True
Charles Walters,3.2666666666666666,18,False
Charlie Chaplin,3.8009090909090912,11,True
Chris Columbus,3.37,11,True
Chuck Jones,3.6089999999999995,10,True
Clarence Brown,3.3263333333333334,30,True
Clint Eastwood,3.394545454545454,22,True
Clyde Geronimi,3.3016666666666667,18,True
Curt Geda,3.6300000000000003,3,True
Curtis Bernhardt,3.283,10,False
D.W. Griffith,3.3053846153846154,13,True
Daniel Petrie,3.1799999999999997,11,False
David Butler,3.244705882352941,17,False
David Fincher,3.823333333333333,3,True
David Hand,3.467,10,True
David Lynch,4.195,4,True
David Zucker,3.5416666666666665,6,True
Del Lord,3.4583333333333335,18,True
Delmer Daves,3.406315789473684,19,True
Dennis Dugan,3.032,5,False
Don Bluth,3.436666666666667,6,True
Don Chaffey,3.2516666666666665,6,False
Don Siegel,3.3833333333333333,24,True
Don Taylor,3.0914285714285716,7,False
Don Weis,3.1616666666666666,6,False
Donald Petrie,2.9316666666666666,6,False
Dorothy Arzner,3.332222222222222,9,True
Doug Liman,3.6633333333333336,3,True
Douglas Sirk,3.4936842105263155,19,True
Dwight H. Little,2.846,5,False
Edgar G. Ulmer,3.3016666666666663,6,True
Edmund Goulding,3.4046666666666665,15,True
Edward Buzzell,3.2920000000000003,10,False
Edward Dmytryk,3.3083333333333336,24,True
Edward F. Cline,3.421666666666667,6,True
Edward L. Cahn,2.8885714285714283,7,False
Edward Ludwig,3.1533333333333338,6,False
Edward Sedgwick,3.255,8,False
Edward Zwick,3.1766666666666663,3,False
Edwin L. Marin,3.1820000000000004,15,False
Elia Kazan,3.6429411764705883,17,True
Elliott Nugent,3.2939999999999996,10,False
Erle C. Kenton,3.1927272727272724,11,False
Ernest R. Dickerson,3.035,6,False
Ernst Lubitsch,3.6263157894736846,19,True
F. Gary Gray,3.5700000000000003,3,True
Felix E. Feist,3.282857142857143,7,False
Francis Ford Coppola,3.6808333333333336,12,True
Franco Zeffirelli,3.1457142857142855,7,False
Frank Borzage,3.4658620689655173,29,True
Frank Capra,3.610555555555555,18,True
Frank Lloyd,3.2112499999999997,8,False
Frank McDonald,3.1650000000000005,6,False
Frank Oz,3.3337499999999998,8,True
Frank Perry,3.3836363636363633,11,True
Frank Tashlin,3.3618181818181814,11,True
Franklin J. Schaffner,3.347,10,True
Fred Schepisi,3.1925,8,False
Fred Zinnemann,3.5542857142857143,14,True
Fritz Lang,3.5736363636363637,22,True
Friz Freleng,3.4466666666666668,6,True
Garry Marshall,3.2344444444444442,9,False
Gene Saks,3.39,6,True
George A. Romero,3.216666666666667,3,False
George Cukor,3.39974358974359,39,True
George Fitzmaurice,3.21875,8,False
