studio,avg_rating,count,is_star
20th Century Fox,3.2802147651006712,745,True
ARD,3.18,1,False
ARD Degeto,4.01,1,False
ARTE,3.98,3,True
ARTE France Cinéma,4.18,1,False
American Broadcasting Company (ABC),3.1341666666666668,24,False
American International Pictures,2.9976646706586827,167,False
American Mutoscope & Biograph,3.2630000000000003,10,True
Argentina Sono Film,3.26,1,False
Australian Broadcasting Corporation,3.1950000000000003,2,False
Avala Film,3.2085714285714286,7,False
BBC,3.341851851851852,27,True
BBC Film,3.3971428571428572,14,True
BR,3.58,1,False
Bandai Visual,3.3200000000000003,2,False
Bavaria Film,3.298666666666667,15,True
CBC,3.25625,8,True
CBS,3.2575,8,True
CJ Entertainment,3.79,1,False
CNC,3.52,3,True
Canal+,3.2785714285714285,28,True
Channel 4 Television,3.63,7,True
Children's Film Foundation (CFF),3.19,1,False
Columbia Pictures,3.2558539765319425,767,True
Constantin Film,3.1381818181818177,11,False
DR,4.18,1,False
Daiei Film,2.56,1,False
DePatie-Freleng Enterprises,3.3633333333333333,9,True
Dovzhenko Film Studios,2.66,1,False
Edison Studios,3.54,1,False
Film i Väst,4.18,1,False
Film4 Productions,3.4928260869565215,46,True
Filmové studio Barrandov,3.42,1,False
First National Pictures,3.326623376623376,77,True
Fleischer Studios,3.4033333333333338,3,True
Fox Film Corporation,3.36,48,True
France 2,3.67,1,False
France 2 Cinéma,3.675,2,False
France 3,3.975,2,False
France 3 Cinéma,3.5966666666666662,3,True
Fuji Television Network,3.1950000000000003,2,False
GBH,3.502,5,True
Gaumont,3.2085714285714286,7,False
Globo Filmes,3.84,2,False
HBO,3.1905882352941175,51,False
HBO Documentary Films,4.04,1,False
Hal Roach Studios,3.416857142857143,35,True
Hallmark Entertainment,3.1336842105263156,19,False
ICAIC,3.88,1,False
Instituto Mexicano de Cinematografía,3.48,1,False
Jadran Film,2.72,6,False
Keystone Film Company,3.09,1,False
Lenfilm,2.9466666666666668,3,False
Leon Schlesinger Productions,3.175,2,False
Lifetime,3.2066666666666666,3,False
Lionsgate,2.9616000000000002,25,False
Lumière,4.53,1,False
Medusa Film,3.3225,4,True
Metro-Goldwyn-Mayer,3.272568493150685,876,True
Miramax,3.1676129032258067,155,False
Monogram Pictures,2.935,34,False
Mosfilm,3.38,1,False
NBC,3.102,20,False
NHK,3.5149999999999997,2,False
New Line Cinema,3.0885555555555557,180,False
Nikkatsu Corporation,2.7,1,False
ONF | NFB,3.38,2,False
Orange Sky Golden Harvest,2.99125,16,False
PRC,3.0416666666666665,12,False
Paramount,3.2967512077294687,828,True
Pathé,3.4479999999999995,5,True
RAI,3.69,2,False
RKO Radio Pictures,3.328041958041958,286,True
RTBF,3.85,1,False
Republic Pictures,3.3378260869565217,46,True
Shaw Brothers,3.408333333333333,6,True
Showtime Networks,3.1225,28,False
StudioCanal,3.2682608695652173,23,True
TF1,3.1,1,False
TF1 Films Production,3.05,4,False
TOHO,2.9600000000000004,11,False
TV Asahi,4.15,1,False
TV Tokyo,2.89,1,False
TV3,2.61,1,False
TVE,3.75,1,False
TVP,4.37,1,False
The Asylum,2.59,1,False
The Cannon Group,2.8765833333333335,120,False
The Essanay Film Manufacturing Company,3.16,2,False
The Vitaphone Corporation,3.3133333333333335,33,True
Toei Animation,3.1466666666666665,3,False
Toei Company,2.726,5,False
Toei Video Company,3.05,2,False
Touchstone Pictures,3.0805660377358492,159,False
Téléfilm Canada,3.203333333333333,6,False
UFA,3.78,1,False
United Artists,3.3661574074074077,432,True
Universal Film Manufacturing Company,3.3200000000000003,3,True
Universal International Pictures,3.2858715596330277,109,True
Universal Pictures,3.206513629842181,697,False
Universal Television,3.0809375,32,False
Vitagraph Company of America,3.6,1,False
Voltage Pictures,3.77,1,False
WDR,3.508,5,True
Walt Disney Pictures,3.075242718446602,103,False
Walt Disney Productions,3.2790212765957447,235,True
Warner Bros. Animation,3.425,8,True
Warner Bros. Cartoons,3.9875,4,True
Warner Bros. Pictures,3.2506605691056913,984,False
YLE,4.18,1,False
ZDF,3.4899999999999998,5,True
