movie_id,original_id,director_name
1,1000004,David Fincher
2,1000006,Christopher Nolan
3,1000008,Todd Phillips
4,1000010,Quentin Tarantino
8,1000017,Christopher Nolan
9,1000018,Christopher Nolan
12,1000022,Peter Weir
15,1000032,David Fincher
16,1000033,Quentin Tarantino
17,1000034,Stanley Kubrick
18,1000036,Quentin Tarantino
20,1000038,Robert Zemeckis
21,1000039,David Fincher
22,1000045,Quentin Tarantino
23,1000046,Francis Ford Coppola
24,1000047,Quentin Tarantino
25,1000048,Martin Scorsese
26,1000051,David Fincher
31,1000059,Martin Scorsese
32,1000060,Peter Weir
34,1000067,Peter Jackson
35,1000070,Gus Van Sant
37,1000072,George Miller
38,1000074,James Cameron
44,1000087,Mark Waters
47,1000090,Robert Zemeckis
53,1000103,Chris Columbus
54,1000104,James Cameron
56,1000109,Stanley Kubrick
57,1000111,Joel Coen
57,1000111,Ethan Coen
59,1000116,Christopher Nolan
60,1000119,John Hughes
62,1000123,Wes Craven
65,1000127,Sam Raimi
67,1000132,Christopher Nolan
68,1000135,Steven Spielberg
70,1000137,Peter Jackson
72,1000141,David Fincher
74,1000144,Ridley Scott
77,1000150,Stanley Kubrick
78,1000154,Francis Lawrence
79,1000155,Chris Columbus
80,1000156,Peter Jackson
81,1000157,Ridley Scott
82,1000160,Christopher Nolan
84,1000164,Sam Raimi
85,1000165,Joe Wright
86,1000168,Francis Lawrence
87,1000169,Mike Newell
88,1000170,Christopher Nolan
89,1000172,Chris Columbus
90,1000173,Christopher Nolan
91,1000177,Bryan Singer
94,1000187,David Yates
96,1000194,Paul Thomas Anderson
99,1000198,Steven Spielberg
100,1000199,Martin Scorsese
102,1000203,M. Night Shyamalan
103,1000205,David Yates
104,1000206,Ridley Scott
110,1000224,David Lynch
111,1000226,Brian De Palma
112,1000227,Luc Besson
113,1000229,Francis Ford Coppola
114,1000230,David Yates
115,1000233,David Yates
117,1000237,John Hughes
118,1000238,Nick Cassavetes
119,1000239,Sidney Lumet
120,1000241,Quentin Tarantino
121,1000242,John Carpenter
122,1000243,Gore Verbinski
123,1000244,Tim Burton
125,1000247,James Mangold
126,1000248,Steven Spielberg
129,1000261,Stanley Kubrick
130,1000262,Francis Ford Coppola
135,1000271,James Mangold
138,1000278,Steven Spielberg
139,1000284,Roman Polanski
140,1000287,Paul Thomas Anderson
144,1000292,Ron Clements
144,1000292,John Musker
145,1000293,Ridley Scott
146,1000295,Sam Raimi
147,1000297,Tim Burton
149,1000304,John McTiernan
151,1000308,Francis Lawrence
152,1000310,James Wan
153,1000311,Alfred Hitchcock
157,1000317,Todd Phillips
160,1000322,Rob Reiner
162,1000328,Steven Soderbergh
163,1000329,Steven Spielberg
164,1000330,Miloš Forman
165,1000331,Tim Burton
169,1000337,William Friedkin
172,1000346,Francis Lawrence
173,1000348,Michael Mann
174,1000351,Stanley Kubrick
176,1000353,Tim Burton
178,1000356,Rob Reiner
181,1000361,Michael Curtiz
182,1000365,Richard Linklater
183,1000374,Steven Spielberg
184,1000375,Tony Scott
