movie_id,original_id,studio
0,1000001,Warner Bros. Pictures
1,1000004,20th Century Fox
2,1000006,Universal Pictures
3,1000008,Warner Bros. Pictures
4,1000010,Miramax
5,1000011,Columbia Pictures
6,1000013,Warner Bros. Pictures
7,1000015,Lionsgate
8,1000017,Warner Bros. Pictures
9,1000018,Warner Bros. Pictures
10,1000020,Film4 Productions
11,1000021,Columbia Pictures
12,1000022,Paramount
13,1000026,Lionsgate
14,1000027,Columbia Pictures
15,1000032,20th Century Fox
16,1000033,Columbia Pictures
17,1000034,Warner Bros. Pictures
18,1000036,Universal Pictures
19,1000037,Columbia Pictures
20,1000038,Paramount
21,1000039,New Line Cinema
22,1000045,Miramax
23,1000046,Paramount
24,1000047,Columbia Pictures
25,1000048,Paramount
26,1000051,Columbia Pictures
27,1000053,Walt Disney Pictures
28,1000055,Universal Pictures
29,1000056,dentsu
30,1000057,Warner Bros. Pictures
31,1000059,Columbia Pictures
32,1000060,Touchstone Pictures
33,1000065,Columbia Pictures
34,1000067,New Line Cinema
35,1000070,Miramax
36,1000071,Walt Disney Pictures
37,1000072,Warner Bros. Pictures
38,1000074,Paramount
38,1000074,20th Century Fox
39,1000075,Metro-Goldwyn-Mayer
40,1000079,Walt Disney Pictures
41,1000082,20th Century Fox
42,1000085,Columbia Pictures
43,1000086,Universal Pictures
44,1000087,Paramount
45,1000088,Paramount
46,1000089,Walt Disney Pictures
47,1000090,Universal Pictures
48,1000093,Lionsgate
49,1000096,20th Century Fox
50,1000097,Warner Bros. Pictures
51,1000098,Walt Disney Pictures
52,1000099,BBC Film
52,1000099,BFI
53,1000103,Warner Bros. Pictures
54,1000104,20th Century Fox
55,1000105,Columbia Pictures
56,1000109,Metro-Goldwyn-Mayer
57,1000111,Miramax
58,1000113,Columbia Pictures
59,1000116,Warner Bros. Pictures
60,1000119,Universal Pictures
61,1000121,New Line Cinema
62,1000123,Miramax
63,1000124,Film4 Productions
64,1000125,20th Century Fox
65,1000127,Columbia Pictures
66,1000131,Miramax
67,1000132,Warner Bros. Pictures
68,1000135,Universal Pictures
69,1000136,Paramount
70,1000137,New Line Cinema
71,1000139,Walt Disney Pictures
72,1000141,Paramount
72,1000141,Warner Bros. Pictures
73,1000142,Warner Bros. Pictures
74,1000144,20th Century Fox
75,1000145,Columbia Pictures
76,1000148,Universal Pictures
77,1000150,Warner Bros. Pictures
78,1000154,Lionsgate
79,1000155,20th Century Fox
80,1000156,New Line Cinema
81,1000157,Shaw Brothers
81,1000157,Warner Bros. Pictures
82,1000160,Warner Bros. Pictures
83,1000161,Columbia Pictures
84,1000164,Columbia Pictures
85,1000165,Universal Pictures
85,1000165,StudioCanal
86,1000168,Lionsgate
87,1000169,Warner Bros. Pictures
88,1000170,Warner Bros. Pictures
89,1000172,Warner Bros. Pictures
90,1000173,Warner Bros. Pictures
90,1000173,Touchstone Pictures
91,1000177,20th Century Fox
92,1000178,Walt Disney Pictures
93,1000183,Paramount
94,1000187,Warner Bros. Pictures
95,1000190,Film4 Productions
96,1000194,Miramax
97,1000195,New Line Cinema
97,1000195,Warner Bros. Pictures
98,1000196,Walt Disney Pictures
99,1000198,Universal Pictures
100,1000199,Warner Bros. Pictures
101,1000201,Touchstone Pictures
102,1000203,Universal Pictures
103,1000205,Warner Bros. Pictures
104,1000206,20th Century Fox
105,1000207,Warner Bros. Pictures
106,1000211,Paramount
107,1000218,Walt Disney Pictures
108,1000220,Film4 Productions
109,1000222,Columbia Pictures
110,1000224,StudioCanal
111,1000226,Universal Pictures
112,1000227,Gaumont
112,1000227,Columbia Pictures
113,1000229,Paramount
114,1000230,Warner Bros. Pictures
115,1000233,Warner Bros. Pictures
116,1000235,BBC Film
117,1000237,Paramount
118,1000238,New Line Cinema
119,1000239,United Artists
120,1000241,Miramax
121,1000242,Universal Pictures
122,1000243,Walt Disney Pictures
123,1000244,20th Century Fox
124,1000245,Columbia Pictures
125,1000247,20th Century Fox
126,1000248,Paramount
127,1000250,Warner Bros. Pictures
128,1000259,Warner Bros. Pictures
129,1000261,Warner Bros. Pictures
130,1000262,United Artists
131,1000263,Universal Pictures
132,1000264,Walt Disney Pictures
133,1000266,20th Century Fox
134,1000269,Walt Disney Pictures
135,1000271,Columbia Pictures
136,1000274,Walt Disney Pictures
137,1000276,Walt Disney Pictures
138,1000278,Paramount
139,1000284,StudioCanal
139,1000284,Canal+
139,1000284,TVP
140,1000287,Metro-Goldwyn-Mayer
141,1000289,Walt Disney Pictures
142,1000290,Touchstone Pictures
143,1000291,Warner Bros. Pictures
144,1000292,Walt Disney Pictures
145,1000293,Universal Pictures
146,1000295,Columbia Pictures
147,1000297,Warner Bros. Pictures
